,rule,n_cells,m_attractors,max_period,max_transient,derrida_coeff,transient_to_attractor
550,183,14,45,14,17,0.75,82.16751269035532
551,183,16,79,14,20,0.75,116.65888689407541
552,184,12,61,12,5,0.75,5.38006230529595
553,184,14,127,14,6,0.75,8.729216152019003
554,184,16,285,16,7,0.75,13.85403445149592
555,185,12,34,12,6,0.875,10.736389684813753
556,185,14,68,14,7,0.875,17.367713004484305
557,185,16,149,16,8,0.875,27.55599128540305
558,186,12,32,12,5,0.625,11.681114551083592
559,186,14,65,14,6,0.625,18.412322274881518
560,186,16,144,16,7,0.625,28.681159420289855
561,187,12,31,12,1,0.5,11.720496894409937
562,187,14,64,14,1,0.5,18.43534994068802
563,187,16,143,16,1,0.5,28.694608065246943
564,188,12,12,12,11,0.875,40.37373737373738
565,188,14,18,14,13,0.875,76.28301886792453
566,188,16,32,16,15,0.875,143.352422907489
567,189,12,11,12,2,0.75,40.795918367346935
568,189,14,17,14,2,0.75,76.64928909952607
569,189,16,31,16,2,0.75,143.6710816777042
570,190,12,12,12,5,0.75,40.37373737373738
571,190,14,18,14,7,0.75,76.28301886792453
572,190,16,32,16,7,0.75,143.352422907489
573,191,12,11,12,1,0.375,40.795918367346935
574,191,14,17,14,1,0.375,76.64928909952607
